order_id,user_id,order_date,product_id,product_name,category,quantity,unit_price,channel,region,payment_status
O000001,U00116,2025-10-13,P008,通勤帆布包,服饰鞋包,1,143.97,直播间,西南,已支付
O000002,U00947,2025年04月26日,P002,机械键盘,数码配件,1,307.35,自然搜索,华东,已支付
O000003,U00274,2025年09月05日,P009,跑步运动鞋,服饰鞋包,1,351.61,自然搜索,东北,已支付
O000004,U00502,2025年08月17日,P004,补水面膜套装,美妆个护,1,80.87,自然搜索,华东,已支付
O000005,U00502,2025年10月12日,P004,补水面膜套装,美妆个护,1,82.62,直播间,华东,已支付
O000006,U00248,2025年06月28日,P002,机械键盘,数码配件,1,261.92,自然搜索,华东,已支付
O000007,U00249,2025-03-04,P005,氨基酸洗面奶,美妆个护,1,46.49,信息流广告,东北,已支付
O000008,U00939,2025-11-23,P004,补水面膜套装,美妆个护,4,72.11,直播间,华东,退款
O000009,U01007,2025/11/21,P005,氨基酸洗面奶,美妆个护,1,66.02,直播间,华东,已支付
O000010,U01099,2025年11月13日,P013,人体工学椅,家居生活,3,803.46,直播间,华南,已支付
O000011,U00319,2025年01月08日,P003,智能手表,数码配件,1,565.25,会员短信,华中,已支付
O000012,U00562,2025-10-02,P009,跑步运动鞋,服饰鞋包,1,312.66,自然搜索,华中,已支付
O000013,U01134,2025-12-18,P001,无线蓝牙耳机,数码配件,1,156.8,信息流广告,华东,已支付
O000014,U00444,2025-04-10,P012,坚果礼盒,食品饮料,1,141.3,自然搜索,华东,已支付
O000015,U00341,2025年12月13日,P011,精品挂耳咖啡,食品饮料,1,76.59,会员短信,华东,已支付
O000016,U01318,2025.10.09,P008,通勤帆布包,服饰鞋包,1,120.59,会员短信,西南,已支付
O000017,U00802,2025.12.14,P011,精品挂耳咖啡,食品饮料,1,77.57,会员短信,华中,已支付
O000018,U00396,2025-11-08,P007,轻薄羽绒服,服饰鞋包,1,268.79,信息流广告,华南,已支付
O000019,U00514,2025-08-20,P006,精华液礼盒,美妆个护,1,269.92,自然搜索,华北,已支付
O000020,U00837,2025.07.26,P010,即食燕麦组合,食品饮料,2,58.38,会员短信,华东,已支付
O000021,U01329,2025-12-16,P008,通勤帆布包,服饰鞋包,2,165.33,社群团购,华北,已取消
O000022,U01001,2025年01月24日,P009,跑步运动鞋,服饰鞋包,1,282.87,直播间,西南,已支付
O000023,U00637,2025-01-01,P005,氨基酸洗面奶,美妆个护,1,74.7,自然搜索,华东,已支付
O000024,U01105,2025-09-27,P015,收纳箱套装,家居生活,1,85.3,直播间,华南,退款
O000025,U00777,2025.11.04,P008,通勤帆布包,服饰鞋包,1,147.84,信息流广告,华北,已支付
O000026,U00191,2025年12月09日,P001,无线蓝牙耳机,数码配件,3,128.85,信息流广告,华南,已支付
O000027,U00966,2025-01-30,P001,无线蓝牙耳机,数码配件,2,155.91,自然搜索,华中,已支付
O000028,U01350,2025/06/24,P002,机械键盘,数码配件,1,265.6,自然搜索,华北,已支付
O000029,U00960,2025.03.06,P013,人体工学椅,家居生活,2,753.63,直播间,西北,已支付
O000030,U00843,2025年12月17日,P007,轻薄羽绒服,服饰鞋包,1,272.11,信息流广告,华中,已支付
O000031,U00662,2025-09-22,P015,收纳箱套装,家居生活,1,97.39,社群团购,华东,已支付
O000032,U01365,2025/03/10,P004,补水面膜套装,美妆个护,2,86.06,自然搜索,华东,已支付
O000033,U00966,2025.09.04,P005,氨基酸洗面奶,美妆个护,1,60.85,直播间,华东,已支付
O000034,U00495,2025-01-24,P005,氨基酸洗面奶,美妆个护,1,66.76,信息流广告,华中,已取消
O000035,U00701,2025/07/13,P004,补水面膜套装,美妆个护,1,93.52,自然搜索,华北,已支付
O000036,U00931,2025.07.12,P008,通勤帆布包,服饰鞋包,2,139.51,信息流广告,西南,已支付
O000037,U00061,2025年11月11日,P002,机械键盘,数码配件,2,175.79,直播间,华东,已支付
O000038,U00434,2025-09-05,P006,精华液礼盒,美妆个护,1,288.86,自然搜索,华东,已支付
O000039,U01363,2025-06-20,P012,坚果礼盒,食品饮料,1,100.81,直播间,华中,已支付
O000040,U00831,2025年11月14日,P010,即食燕麦组合,食品饮料,1,49.94,社群团购,华南,已支付
O000041,U00113,2025-12-26,P008,通勤帆布包,服饰鞋包,3,103.28,社群团购,华东,已支付
O000042,U00079,2025-03-22,P013,人体工学椅,家居生活,2,889.29,社群团购,华中,已支付
O000043,U00272,2025-11-14,P013,人体工学椅,家居生活,1,743.1,信息流广告,华东,已支付
O000044,U00920,2025年09月15日,P002,机械键盘,数码配件,2,246.75,自然搜索,西北,已支付
O000045,U00297,2025年05月16日,P007,轻薄羽绒服,服饰鞋包,1,384.86,会员短信,华南,已支付
O000046,U00440,2025-07-04,P007,轻薄羽绒服,服饰鞋包,2,370.4,直播间,华北,已支付
O000047,U01046,2025/03/11,P014,香薰加湿器,家居生活,2,181.49,自然搜索,华东,已支付
O000048,U00368,,P009,跑步运动鞋,服饰鞋包,1,308.86,社群团购,西南,已支付
O000049,U00996,2025年08月13日,P009,跑步运动鞋,服饰鞋包,1,352.16,自然搜索,华中,已支付
O000050,U00790,2025年02月05日,P001,无线蓝牙耳机,数码配件,1,186.18,自然搜索,华东,已支付
O000051,U00680,2025年04月17日,P008,通勤帆布包,服饰鞋包,1,170.92,自然搜索,西南,已取消
O000052,U00499,2025/06/07,P009,跑步运动鞋,服饰鞋包,1,295.65,信息流广告,华南,已支付
O000053,U00605,2025/04/01,P010,即食燕麦组合,食品饮料,1,54.78,,华中,已取消
O000054,U01042,2025/08/20,P015,收纳箱套装,家居生活,1,87.8,自然搜索,华北,已支付
O000055,U00835,2025年07月29日,P004,补水面膜套装,美妆个护,1,86.23,自然搜索,西南,退款
O000056,U01064,2025/02/27,P014,香薰加湿器,家居生活,1,173.08,自然搜索,华中,已支付
O000057,U00895,2025/09/28,P009,跑步运动鞋,服饰鞋包,2,320.98,自然搜索,西北,已支付
O000058,U00149,2025年12月11日,P008,通勤帆布包,服饰鞋包,3,137.82,直播间,华南,已支付
O000059,U00483,2025/11/13,P010,即食燕麦组合,食品饮料,1,56.15,信息流广告,华东,已支付
O000060,U00601,2025-08-01,P003,智能手表,数码配件,1,498.2,自然搜索,东北,已支付
O000061,U00149,2025年04月04日,P002,机械键盘,数码配件,2,292.43,社群团购,华南,已支付
O000062,U00953,2025年12月23日,P001,无线蓝牙耳机,数码配件,1,167.05,会员短信,华北,已支付
O000063,U00021,2025.05.17,P007,轻薄羽绒服,服饰鞋包,1,402.17,自然搜索,华北,已支付
O000064,U01165,2025-11-19,P007,轻薄羽绒服,服饰鞋包,1,248.32,自然搜索,华南,已支付
O000065,U00473,2025/01/31,P005,氨基酸洗面奶,美妆个护,1,73.5,直播间,华东,已支付
O000066,U01343,2025/10/22,P014,香薰加湿器,家居生活,4,212.79,自然搜索,华东,已支付
O000067,U00918,2025-12-27,P012,坚果礼盒,食品饮料,3,113.71,直播间,西南,已支付
O000068,U00130,2025-01-28,P011,精品挂耳咖啡,食品饮料,4,60.07,信息流广告,华东,已支付
O000069,U00113,2025.06.08,P003,智能手表,数码配件,1,526.87,自然搜索,华北,已支付
O000070,U00033,2025/08/10,P013,人体工学椅,家居生活,1,932.27,会员短信,华东,已支付
O000071,U00731,2025-11-05,P001,无线蓝牙耳机,数码配件,1,134.34,直播间,华东,已支付
O000072,U00416,2025.05.16,P003,智能手表,数码配件,1,559.99,自然搜索,华北,已支付
O000073,U01334,2025年12月11日,P008,通勤帆布包,服饰鞋包,1,112.49,直播间,华东,已支付
O000074,U01258,2025年05月07日,P010,即食燕麦组合,食品饮料,1,59.96,会员短信,东北,已支付
